--------- beginning of system
I/Vold    (  150): Vold 2.1 (the revenge) firing up
D/VoldCmdListener(  150): cryptfs mountdefaultencrypted
I/PackageManager(  471): Package com.android.vending at /system/priv-app/Phonesky ignored: updated version 81041300 better than this 80321300
W/PackageManager(  471): Failed to parse /system/priv-app/Phonesky: null
I/PackageManager(  471): Package com.google.android.gms at /system/priv-app/PrebuiltGmsCore ignored: updated version 12685011 better than this 6779446
W/PackageManager(  471): Failed to parse /system/priv-app/PrebuiltGmsCore: null
W/PackageParser(  471): No actions in intent filter at /system/priv-app/SetupWizard/SetupWizard.apk Binary XML file line #170
W/PackageParser(  471): No actions in intent filter at /system/priv-app/SetupWizard/SetupWizard.apk Binary XML file line #362
W/PackageParser(  471): Unknown element under <intent-filter>: android at /system/priv-app/Telecom/Telecom.apk Binary XML file line #232
I/PackageManager(  471): Package com.google.android.googlequicksearchbox at /system/priv-app/Velvet ignored: updated version 300751851 better than this 300401292
W/PackageManager(  471): Failed to parse /system/priv-app/Velvet: null
W/PackageParser(  471): No actions in intent filter at /system/app/Bluetooth/Bluetooth.apk Binary XML file line #209
I/PackageManager(  471): Package com.google.android.apps.books at /system/app/Books ignored: updated version 31505 better than this 30315
W/PackageManager(  471): Failed to parse /system/app/Books: null
I/PackageManager(  471): Package com.google.android.calendar at /system/app/CalendarGooglePrebuilt ignored: updated version 2015593137 better than this 2014120441
W/PackageManager(  471): Failed to parse /system/app/CalendarGooglePrebuilt: null
I/PackageManager(  471): Package com.android.chrome at /system/app/Chrome ignored: updated version 316309801 better than this 52214089
W/PackageManager(  471): Failed to parse /system/app/Chrome: null
I/PackageManager(  471): Package com.google.android.apps.cloudprint at /system/app/CloudPrint2 ignored: updated version 137 better than this 92
W/PackageManager(  471): Failed to parse /system/app/CloudPrint2: null
I/PackageManager(  471): Package com.google.android.deskclock at /system/app/DeskClockGoogle ignored: updated version 51002712 better than this 303
W/PackageManager(  471): Failed to parse /system/app/DeskClockGoogle: null
I/PackageManager(  471): Package com.google.android.apps.docs at /system/app/Drive ignored: updated version 73721044 better than this 44951044
W/PackageManager(  471): Failed to parse /system/app/Drive: null
I/PackageManager(  471): Package com.google.android.apps.docs.editors.docs at /system/app/EditorsDocs ignored: updated version 74120644 better than this 50320844
W/PackageManager(  471): Failed to parse /system/app/EditorsDocs: null
I/PackageManager(  471): Package com.google.android.apps.docs.editors.sheets at /system/app/EditorsSheets ignored: updated version 74120644 better than this 50320844
W/PackageManager(  471): Failed to parse /system/app/EditorsSheets: null
W/PackageParser(  471): No actions in intent filter at /system/app/FitnessPrebuilt/FitnessPrebuilt.apk Binary XML file line #73
I/PackageManager(  471): Package com.google.android.apps.fitness at /system/app/FitnessPrebuilt ignored: updated version 2017405136 better than this 2015108006
W/PackageManager(  471): Failed to parse /system/app/FitnessPrebuilt: null
W/PackageParser(  471): Unknown element under <manifest>: supports-gl-texture at /system/app/GoogleEarth/GoogleEarth.apk Binary XML file line #25
I/PackageManager(  471): Package com.google.earth at /system/app/GoogleEarth ignored: updated version 172701003 better than this 143022013
W/PackageManager(  471): Failed to parse /system/app/GoogleEarth: null
I/PackageManager(  471): Package com.google.android.launcher at /system/app/GoogleHome ignored: updated version 103001 better than this 101010
W/PackageManager(  471): Failed to parse /system/app/GoogleHome: null
I/PackageManager(  471): Package com.google.android.tts at /system/app/GoogleTTS ignored: updated version 210313031 better than this 210303122
W/PackageManager(  471): Failed to parse /system/app/GoogleTTS: null
I/PackageManager(  471): Package com.google.android.inputmethod.latin at /system/app/LatinImeGoogle ignored: updated version 26662210 better than this 21004
W/PackageManager(  471): Failed to parse /system/app/LatinImeGoogle: null
I/PackageManager(  471): Package com.google.android.apps.maps at /system/app/Maps ignored: updated version 964100233 better than this 903008023
W/PackageManager(  471): Failed to parse /system/app/Maps: null
I/PackageManager(  471): Package com.google.android.music at /system/app/Music2 ignored: updated version 63221 better than this 1809
W/PackageManager(  471): Failed to parse /system/app/Music2: null
W/PackageParser(  471): Problem in package /system/app/Newsstand/Newsstand.apk:
W/PackageParser(  471): Unknown element under <activity>: category at /system/app/Newsstand/Newsstand.apk Binary XML file line #74
W/PackageParser(  471): Problem in package /system/app/Newsstand/Newsstand.apk:
W/PackageParser(  471): Unknown element under <activity>: category at /system/app/Newsstand/Newsstand.apk Binary XML file line #75
I/PackageManager(  471): Package com.google.android.apps.magazines at /system/app/Newsstand ignored: updated version 2017080128 better than this 2014102707
W/PackageManager(  471): Failed to parse /system/app/Newsstand: null
W/PackageParser(  471): Unknown element under <activity-alias>: category at /system/app/Photos/Photos.apk Binary XML file line #84
I/PackageManager(  471): Package com.google.android.apps.photos at /system/app/Photos ignored: updated version 1908020 better than this 3
W/PackageManager(  471): Failed to parse /system/app/Photos: null
I/PackageManager(  471): Package com.google.android.play.games at /system/app/PlayGames ignored: updated version 52250046 better than this 22090000
W/PackageManager(  471): Failed to parse /system/app/PlayGames: null
I/PackageManager(  471): Package com.google.android.apps.plus at /system/app/PlusOne ignored: updated version 419043388 better than this 413630570
W/PackageManager(  471): Failed to parse /system/app/PlusOne: null
I/PackageManager(  471): Package com.google.android.gm.exchange at /system/app/PrebuiltExchange3Google ignored: updated version 508255 better than this 500065
W/PackageManager(  471): Failed to parse /system/app/PrebuiltExchange3Google: null
I/PackageManager(  471): Package com.google.android.gm at /system/app/PrebuiltGmail ignored: updated version 59709693 better than this 5020000
W/PackageManager(  471): Failed to parse /system/app/PrebuiltGmail: null
I/PackageManager(  471): Package com.google.android.keep at /system/app/PrebuiltKeep ignored: updated version 74110540 better than this 3003
W/PackageManager(  471): Failed to parse /system/app/PrebuiltKeep: null
I/PackageManager(  471): Package com.google.android.apps.genie.geniewidget at /system/app/PrebuiltNewsWeather ignored: updated version 33502543 better than this 2200200
W/PackageManager(  471): Failed to parse /system/app/PrebuiltNewsWeather: null
I/PackageManager(  471): Package com.google.android.videos at /system/app/Videos ignored: updated version 32800141 better than this 36160
W/PackageManager(  471): Failed to parse /system/app/Videos: null
I/PackageManager(  471): Package com.google.android.webview at /system/app/WebViewGoogle ignored: updated version 316309850 better than this 325502
W/PackageManager(  471): Failed to parse /system/app/WebViewGoogle: null
I/PackageManager(  471): Package com.google.android.youtube at /system/app/YouTube ignored: updated version 1227532430 better than this 100305110
W/PackageManager(  471): Failed to parse /system/app/YouTube: null
I/PackageManager(  471): Package com.google.android.marvin.talkback at /system/app/talkback ignored: updated version 50201006 better than this 40100004
W/PackageManager(  471): Failed to parse /system/app/talkback: null
W/PackageManager(  471): Package com.google.android.gms desires unavailable shared library org.apache.http.legacy; ignoring!
W/PackageManager(  471): Package com.google.android.gms desires unavailable shared library com.google.android.ble; ignoring!
W/PackageManager(  471): Package com.google.android.gms desires unavailable shared library com.google.android.wearable; ignoring!
I/PackageParser(  471): edu.umich.PowerTutor: compat added android.permission.WRITE_EXTERNAL_STORAGE
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-m at /data/app/com.opera.browser-1/base.apk Binary XML file line #40
W/PackageParser(  471): Unknown element under <manifest>: meta-data at /data/app/com.mxtech.videoplayer.ad-1/base.apk Binary XML file line #79
W/PackageManager(  471): Package com.mxtech.videoplayer.ad desires unavailable shared library com.sec.android.app.multiwindow; ignoring!
W/PackageParser(  471): Unknown element under <manifest>: supports-gl-texture at /data/app/com.google.earth-2/base.apk Binary XML file line #70
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.android.chrome-2/base.apk Binary XML file line #27
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-m at /data/app/com.android.chrome-2/base.apk Binary XML file line #37
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-m at /data/app/com.android.chrome-2/base.apk Binary XML file line #38
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-m at /data/app/com.android.chrome-2/base.apk Binary XML file line #39
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-m at /data/app/com.android.chrome-2/base.apk Binary XML file line #40
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.calendar-2/base.apk Binary XML file line #96
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.talk-1/base.apk Binary XML file line #215
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.gm-2/base.apk Binary XML file line #104
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.gm-2/base.apk Binary XML file line #108
W/PackageParser(  471): No actions in intent filter at /data/app/com.google.android.gm-2/base.apk Binary XML file line #677
W/PackageParser(  471): No actions in intent filter at /data/app/com.google.android.gm-2/base.apk Binary XML file line #1380
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.docs-1/base.apk Binary XML file line #24
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.docs-1/base.apk Binary XML file line #33
W/PackageParser(  471): Unknown element under <manifest>: meta-data at /data/app/com.google.android.apps.docs-1/base.apk Binary XML file line #107
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.music-2/base.apk Binary XML file line #26
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.magazines-1/base.apk Binary XML file line #65
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.magazines-1/base.apk Binary XML file line #66
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.inputmethod.latin-1/base.apk Binary XML file line #35
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.inputmethod.latin-1/base.apk Binary XML file line #36
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.inputmethod.latin-1/base.apk Binary XML file line #37
W/PackageParser(  471): Unknown element under <manifest>: meta-data at /data/app/com.halfbrick.fruitninjafree-1/base.apk Binary XML file line #28
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.plus-1/base.apk Binary XML file line #381
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.maps-1/base.apk Binary XML file line #163
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.maps-1/base.apk Binary XML file line #164
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.maps-1/base.apk Binary XML file line #177
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.maps-1/base.apk Binary XML file line #178
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.maps-1/base.apk Binary XML file line #186
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.maps-1/base.apk Binary XML file line #188
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.photos-1/base.apk Binary XML file line #21
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.photos-1/base.apk Binary XML file line #41
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.photos-1/base.apk Binary XML file line #42
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.googlequicksearchbox-1/base.apk Binary XML file line #173
W/PackageParser(  471): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.googlequicksearchbox-1/base.apk Binary XML file line #223
W/PackageManager(  471): Package com.google.android.googlequicksearchbox desires unavailable shared library com.google.android.chromeos; ignoring!
W/PackageManager(  471): Package com.google.android.googlequicksearchbox desires unavailable shared library com.google.android.chromeos; ignoring!
W/PackageManager(  471): Package com.mxtech.videoplayer.ad desires unavailable shared library com.sec.android.app.multiwindow; ignoring!
W/PackageManager(  471): Package com.google.android.gms desires unavailable shared library org.apache.http.legacy; ignoring!
W/PackageManager(  471): Package com.google.android.gms desires unavailable shared library com.google.android.ble; ignoring!
W/PackageManager(  471): Package com.google.android.gms desires unavailable shared library com.google.android.wearable; ignoring!
W/PackageManager(  471): Package com.google.android.GoogleCamera desires unavailable shared library com.google.android.gestureservice; ignoring!
W/PackageManager(  471): Package com.google.android.GoogleCamera desires unavailable shared library com.google.android.camera2; ignoring!
I/PackageManager(  471): Adjusting ABI for : com.google.android.backuptransport to arm64-v8a
I/PackageManager(  471): Adjusting ABI for : com.google.android.gsf to arm64-v8a
I/PackageManager(  471): Adjusting ABI for : com.google.android.syncadapters.contacts to arm64-v8a
I/PackageManager(  471): Adjusting ABI for : com.google.android.gsf.login to arm64-v8a
I/PackageManager(  471): Adjusting ABI for : com.android.providers.settings to arm64-v8a
I/PackageManager(  471): Adjusting ABI for : com.nvidia.tegraprofiler.security to arm64-v8a
I/PackageManager(  471): Adjusting ABI for : com.android.server.telecom to arm64-v8a
I/PackageManager(  471): Adjusting ABI for : com.android.keychain to arm64-v8a
I/PackageManager(  471): Adjusting ABI for : com.android.inputdevices to arm64-v8a
I/PackageManager(  471): Adjusting ABI for : com.android.settings to arm64-v8a
I/PackageManager(  471): Adjusting ABI for : com.android.location.fused to arm64-v8a
I/PackageManager(  471): Time to scan packages: 11.051 seconds
W/PackageManager(  471): Not granting permission android.permission.MANAGE_DOCUMENTS to package com.google.android.youtube (protectionLevel=2 flags=0x5bbec5)
W/PackageManager(  471): Unknown permission com.google.android.voicesearch.SHORTCUTS_ACCESS in package com.google.android.googlequicksearchbox
W/PackageManager(  471): Unknown permission com.google.android.voicesearch.ACCESS_SETTINGS in package com.google.android.googlequicksearchbox
W/PackageManager(  471): Unknown permission com.android.browser.permission.PRELOAD in package com.google.android.googlequicksearchbox
W/PackageManager(  471): Unknown permission com.google.googlenav.friend.permission.OPT_IN in package com.google.android.googlequicksearchbox
W/PackageManager(  471): Not granting permission android.permission.CALL_PRIVILEGED to package com.google.android.googlequicksearchbox (protectionLevel=18 flags=0x405bbec5)
W/PackageManager(  471): Unknown permission com.google.android.apps.googlevoice.permission.AUTO_SEND in package com.google.android.googlequicksearchbox
W/PackageManager(  471): Unknown permission com.android.chrome.PRERENDER_URL in package com.google.android.googlequicksearchbox
W/PackageManager(  471): Unknown permission android.permission.USE_FINGERPRINT in package com.google.android.googlequicksearchbox
W/PackageManager(  471): Unknown permission android.permission.WRITE_SYNC_STATS in package com.google.android.apps.docs.editors.docs
W/PackageManager(  471): Not granting permission com.google.android.gm.permission.READ_GMAIL to package com.google.android.apps.docs.editors.docs (protectionLevel=2 flags=0x5bbec5)
W/PackageManager(  471): Not granting permission com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES to package com.google.android.apps.docs.editors.docs (protectionLevel=2 flags=0x5bbec5)
W/PackageManager(  471): Unknown permission com.android.launcher.permission.READ_SETTINGS in package com.google.android.onetimeinitializer
W/PackageManager(  471): Unknown permission com.android.launcher.permission.WRITE_SETTINGS in package com.google.android.onetimeinitializer
W/PackageManager(  471): Not granting permission android.permission.WRITE_SECURE_SETTINGS to package com.google.android.apps.enterprise.dmagent (protectionLevel=50 flags=0x83e05)
W/PackageManager(  471): Not granting permission android.permission.CONNECTIVITY_INTERNAL to package com.google.android.apps.enterprise.dmagent (protectionLevel=18 flags=0x83e05)
W/PackageManager(  471): Not granting permission android.permission.MANAGE_USB to package com.google.android.apps.enterprise.dmagent (protectionLevel=18 flags=0x83e05)
W/PackageManager(  471): Not granting permission android.permission.CHANGE_COMPONENT_ENABLED_STATE to package com.google.android.apps.enterprise.dmagent (protectionLevel=18 flags=0x83e05)
W/PackageManager(  471): Not granting permission android.permission.MANAGE_CA_CERTIFICATES to package com.google.android.apps.enterprise.dmagent (protectionLevel=18 flags=0x83e05)
W/PackageManager(  471): Not granting permission android.permission.MANAGE_USERS to package com.google.android.apps.enterprise.dmagent (protectionLevel=18 flags=0x83e05)
W/PackageManager(  471): Unknown permission android.permission.WRITE_SYNC_STATS in package com.google.android.apps.docs.editors.sheets
W/PackageManager(  471): Not granting permission com.google.android.gm.permission.READ_GMAIL to package com.google.android.apps.docs.editors.sheets (protectionLevel=2 flags=0x5bbec5)
W/PackageManager(  471): Not granting permission com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES to package com.google.android.apps.docs.editors.sheets (protectionLevel=2 flags=0x5bbec5)
W/PackageManager(  471): Unknown permission android.permission.WRITE_SYNC_STATS in package com.google.android.apps.docs.editors.slides
W/PackageManager(  471): Not granting permission com.google.android.gm.permission.READ_GMAIL to package com.google.android.apps.docs.editors.slides (protectionLevel=2 flags=0x583e45)
W/PackageManager(  471): Not granting permission com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES to package com.google.android.apps.docs.editors.slides (protectionLevel=2 flags=0x583e45)
W/PackageManager(  471): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.vending (protectionLevel=2 flags=0x404abec5)
W/PackageManager(  471): Unknown permission android.permission.SEND_SMS_NO_CONFIRMATION in package com.android.vending
W/PackageManager(  471): Unknown permission android.permission.USE_FINGERPRINT in package com.android.vending
W/PackageManager(  471): Unknown permission android.permission.GET_ACCOUNTS_PRIVILEGED in package com.android.vending
W/PackageManager(  471): Unknown permission android.permission.INSTALL_GRANT_RUNTIME_PERMISSIONS in package com.android.vending
W/PackageManager(  471): Unknown permission android.permission.GRANT_RUNTIME_PERMISSIONS in package com.android.vending
W/PackageManager(  471): Unknown permission android.permission.REVOKE_RUNTIME_PERMISSIONS in package com.android.vending
W/PackageManager(  471): Unknown permission android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST in package com.android.vending
W/PackageManager(  471): Not granting permission android.permission.BATTERY_STATS to package com.android.vending (protectionLevel=50 flags=0x404abec5)
W/PackageManager(  471): Not granting permission android.permission.BACKUP to package com.android.vending (protectionLevel=18 flags=0x404abec5)
W/PackageManager(  471): Not granting permission android.permission.CONNECTIVITY_INTERNAL to package com.android.vending (protectionLevel=18 flags=0x404abec5)
W/PackageManager(  471): Not granting permission android.permission.DUMP to package com.android.vending (protectionLevel=50 flags=0x404abec5)
W/PackageManager(  471): Unknown permission android.permission.ALLOCATE_AGGRESSIVE in package com.android.vending
W/PackageManager(  471): Not granting permission android.permission.GET_APP_OPS_STATS to package com.android.vending (protectionLevel=50 flags=0x404abec5)
W/PackageManager(  471): Not granting permission android.permission.SET_PREFERRED_APPLICATIONS to package com.android.vending (protectionLevel=2 flags=0x404abec5)
W/PackageManager(  471): Unknown permission android.permission.ACCESS_INSTANT_APPS in package com.android.vending
W/PackageManager(  471): Not granting permission android.permission.UPDATE_DEVICE_STATS to package com.android.vending (protectionLevel=18 flags=0x404abec5)
W/PackageManager(  471): Unknown permission android.permission.MANAGE_APP_OPS_MODES in package com.android.vending
W/PackageManager(  471): Unknown permission android.permission.SET_HARMFUL_APP_WARNINGS in package com.android.vending
W/PackageManager(  471): Unknown permission com.google.android.partnersetup.permission.WRITE_APP_PROVIDER in package com.android.vending
W/PackageManager(  471): Unknown permission com.sec.android.provider.badge.permission.READ in package com.android.vending
W/PackageManager(  471): Unknown permission com.sec.android.provider.badge.permission.WRITE in package com.android.vending
W/PackageManager(  471): Unknown permission com.htc.launcher.permission.READ_SETTINGS in package com.android.vending
W/PackageManager(  471): Unknown permission com.htc.launcher.permission.UPDATE_SHORTCUT in package com.android.vending
W/PackageManager(  471): Unknown permission com.sonyericsson.home.permission.BROADCAST_BADGE in package com.android.vending
W/PackageManager(  471): Unknown permission com.sonymobile.home.permission.PROVIDER_INSERT_BADGE in package com.android.vending
W/PackageManager(  471): Unknown permission com.anddoes.launcher.permission.UPDATE_COUNT in package com.android.vending
W/PackageManager(  471): Unknown permission com.majeur.launcher.permission.UPDATE_BADGE in package com.android.vending
W/PackageManager(  471): Unknown permission com.huawei.android.launcher.permission.CHANGE_BADGE in package com.android.vending
W/PackageManager(  471): Unknown permission com.huawei.android.launcher.permission.READ_SETTINGS in package com.android.vending
W/PackageManager(  471): Unknown permission com.huawei.android.launcher.permission.WRITE_SETTINGS in package com.android.vending
W/PackageManager(  471): Unknown permission android.permission.READ_APP_BADGE in package com.android.vending
W/PackageManager(  471): Unknown permission com.oppo.launcher.permission.READ_SETTINGS in package com.android.vending
W/PackageManager(  471): Unknown permission com.oppo.launcher.permission.WRITE_SETTINGS in package com.android.vending
W/PackageManager(  471): Unknown permission org.chromium.arc.apkcacheprovider.permission.READ_CACHE in package com.android.vending
W/PackageManager(  471): Unknown permission org.chromium.arc.apkcacheprovider.permission.WRITE_CACHE in package com.android.vending
W/PackageManager(  471): Unknown permission android.Manifest.permission.SUBSTITUTE_NOTIFICATION_APP_NAME in package com.android.vending
W/PackageManager(  471): Unknown permission android.permission.READ_RUNTIME_PROFILES in package com.android.vending
W/PackageManager(  471): Unknown permission android.permission.FOREGROUND_SERVICE in package com.android.vending
W/PackageManager(  471): Unknown permission android.permission.NFC_UNLOCK in package com.android.nfc
W/PackageManager(  471): Unknown permission com.android.launcher.permission.READ_SETTINGS in package com.google.android.launcher
W/PackageManager(  471): Unknown permission com.android.launcher.permission.WRITE_SETTINGS in package com.google.android.launcher
W/PackageManager(  471): Unknown permission com.google.android.gm.exchange.BIND in package com.google.android.gm
W/PackageManager(  471): Unknown permission com.android.email.partnerprovider.PARTNER_PROVIDER in package com.google.android.gm
W/PackageManager(  471): Unknown permission android.permission.READ_OWNER_DATA in package com.google.android.setupwizard
W/PackageManager(  471): Unknown permission android.permission.WRITE_OWNER_DATA in package com.google.android.setupwizard
W/PackageManager(  471): Unknown permission com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY in package com.google.android.music
W/PackageManager(  471): Not granting permission android.permission.WRITE_MEDIA_STORAGE to package com.estrongs.android.pop (protectionLevel=18 flags=0x58be44)
W/PackageManager(  471): Unknown permission android.permission.ACCESS_SUPERUSER in package com.estrongs.android.pop
W/PackageManager(  471): Unknown permission .PERMISSION in package com.estrongs.android.pop
W/PackageManager(  471): Unknown permission android.permission.WRITE_SYNC_STATS in package com.google.android.apps.docs
W/PackageManager(  471): Unknown permission com.google.googlenav.friend.permission.OPT_IN in package com.google.android.apps.plus
W/PackageManager(  471): Unknown permission com.android.launcher.permission.PRELOAD_WORKSPACE in package com.google.android.nfcprovision
W/PackageManager(  471): Unknown permission com.opera.browser.permission.GET_PREINSTALL_DATA in package com.opera.browser
W/PackageManager(  471): Unknown permission com.opera.android.browser.permission.NEWS_ID_VIEW in package com.opera.browser
W/PackageManager(  471): Unknown permission android.permission.GET_ACCOUNTS_PRIVILEGED in package com.google.android.contacts
W/PackageManager(  471): Not granting permission com.google.android.gm.permission.READ_GMAIL to package com.google.android.contacts (protectionLevel=2 flags=0x4049bec5)
W/PackageManager(  471): Unknown permission com.google.android.permission.PROVIDE_BACKGROUND in package com.google.android.apps.fitness
W/PackageManager(  471): Unknown permission com.chrome.permission.DEVICE_EXTRAS in package com.android.chrome
W/PackageManager(  471): Unknown permission com.sec.enterprise.knox.MDM_CONTENT_PROVIDER in package com.android.chrome
W/PackageManager(  471): Unknown permission android.permission.OBSERVE_GRANT_REVOKE_PERMISSIONS in package com.google.android.gms
W/PackageManager(  471): Unknown permission android.permission.MANAGE_SOUND_TRIGGER in package com.google.android.gms
W/PackageManager(  471): Unknown permission android.permission.DISPATCH_PROVISIONING_MESSAGE in package com.google.android.gms
W/PackageManager(  471): Unknown permission android.permission.RECOVER_KEYSTORE in package com.google.android.gms
W/PackageManager(  471): Unknown permission android.permission.PRE_FACTORY_RESET in package com.google.android.gms
W/PackageManager(  471): Not granting permission android.permission.READ_PRIVILEGED_PHONE_STATE to package com.google.android.gms (protectionLevel=18 flags=0xc0483ec5)
W/PackageManager(  471): Unknown permission android.permission.CONNECTIVITY_USE_RESTRICTED_NETWORKS in package com.google.android.gms
W/PackageManager(  471): Unknown permission android.permission.USE_FINGERPRINT in package com.google.android.gms
W/PackageManager(  471): Unknown permission android.permission.SEND_SMS_NO_CONFIRMATION in package com.google.android.gms
W/PackageManager(  471): Unknown permission com.google.android.wearable.WRITE_SETTINGS in package com.google.android.gms
W/PackageManager(  471): Unknown permission com.felicanetworks.mfc.permission.MFC_ACCESS in package com.google.android.gms
W/PackageManager(  471): Unknown permission com.felicanetworks.mfc.mfi.permission.MFI_ACCESS in package com.google.android.gms
W/PackageManager(  471): Not granting permission android.permission.BIND_NOTIFICATION_LISTENER_SERVICE to package com.google.android.gms (protectionLevel=2 flags=0xc0483ec5)
W/PackageManager(  471): Unknown permission android.permission.ACCESS_NOTIFICATION_POLICY in package com.google.android.gms
W/PackageManager(  471): Unknown permission android.permission.TETHER_PRIVILEGED in package com.google.android.gms
W/PackageManager(  471): Unknown permission android.permission.READ_OEM_UNLOCK_STATE in package com.google.android.gms
