--------- beginning of system
I/Vold    (  153): Vold 2.1 (the revenge) firing up
D/VoldCmdListener(  153): cryptfs mountdefaultencrypted
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.inputmethod.latin-1/base.apk Binary XML file line #35
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.inputmethod.latin-1/base.apk Binary XML file line #36
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.inputmethod.latin-1/base.apk Binary XML file line #37
W/PackageParser(  455): Unknown element under <manifest>: meta-data at /data/app/com.halfbrick.fruitninjafree-1/base.apk Binary XML file line #28
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.plus-1/base.apk Binary XML file line #381
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.maps-1/base.apk Binary XML file line #163
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.maps-1/base.apk Binary XML file line #164
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.maps-1/base.apk Binary XML file line #177
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.maps-1/base.apk Binary XML file line #178
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.maps-1/base.apk Binary XML file line #186
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.maps-1/base.apk Binary XML file line #188
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.photos-1/base.apk Binary XML file line #21
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.photos-1/base.apk Binary XML file line #41
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.photos-1/base.apk Binary XML file line #42
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.googlequicksearchbox-1/base.apk Binary XML file line #173
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.googlequicksearchbox-1/base.apk Binary XML file line #223
W/PackageManager(  455): Package com.google.android.googlequicksearchbox desires unavailable shared library com.google.android.chromeos; ignoring!
W/PackageManager(  455): Package com.google.android.googlequicksearchbox desires unavailable shared library com.google.android.chromeos; ignoring!
W/PackageManager(  455): Package com.mxtech.videoplayer.ad desires unavailable shared library com.sec.android.app.multiwindow; ignoring!
W/PackageManager(  455): Package com.google.android.gms desires unavailable shared library org.apache.http.legacy; ignoring!
W/PackageManager(  455): Package com.google.android.gms desires unavailable shared library com.google.android.ble; ignoring!
W/PackageManager(  455): Package com.google.android.gms desires unavailable shared library com.google.android.wearable; ignoring!
W/PackageManager(  455): Package com.google.android.GoogleCamera desires unavailable shared library com.google.android.gestureservice; ignoring!
W/PackageManager(  455): Package com.google.android.GoogleCamera desires unavailable shared library com.google.android.camera2; ignoring!
I/PackageManager(  455): Adjusting ABI for : com.google.android.syncadapters.contacts to arm64-v8a
I/PackageManager(  455): Adjusting ABI for : com.google.android.backuptransport to arm64-v8a
I/PackageManager(  455): Adjusting ABI for : com.google.android.gsf to arm64-v8a
I/PackageManager(  455): Adjusting ABI for : com.google.android.gsf.login to arm64-v8a
I/PackageManager(  455): Adjusting ABI for : com.android.providers.settings to arm64-v8a
I/PackageManager(  455): Adjusting ABI for : com.android.settings to arm64-v8a
I/PackageManager(  455): Adjusting ABI for : com.android.inputdevices to arm64-v8a
I/PackageManager(  455): Adjusting ABI for : com.android.keychain to arm64-v8a
I/PackageManager(  455): Adjusting ABI for : com.nvidia.tegraprofiler.security to arm64-v8a
I/PackageManager(  455): Adjusting ABI for : com.android.location.fused to arm64-v8a
I/PackageManager(  455): Adjusting ABI for : com.android.server.telecom to arm64-v8a
I/PackageManager(  455): Time to scan packages: 10.827 seconds
W/PackageManager(  455): Not granting permission android.permission.MANAGE_DOCUMENTS to package com.google.android.youtube (protectionLevel=2 flags=0x5bbec5)
W/PackageManager(  455): Unknown permission com.google.android.voicesearch.SHORTCUTS_ACCESS in package com.google.android.googlequicksearchbox
W/PackageManager(  455): Unknown permission com.google.android.voicesearch.ACCESS_SETTINGS in package com.google.android.googlequicksearchbox
W/PackageManager(  455): Unknown permission com.android.browser.permission.PRELOAD in package com.google.android.googlequicksearchbox
W/PackageManager(  455): Unknown permission com.google.googlenav.friend.permission.OPT_IN in package com.google.android.googlequicksearchbox
W/PackageManager(  455): Not granting permission android.permission.CALL_PRIVILEGED to package com.google.android.googlequicksearchbox (protectionLevel=18 flags=0x405bbec5)
W/PackageManager(  455): Unknown permission com.google.android.apps.googlevoice.permission.AUTO_SEND in package com.google.android.googlequicksearchbox
W/PackageManager(  455): Unknown permission com.android.chrome.PRERENDER_URL in package com.google.android.googlequicksearchbox
W/PackageManager(  455): Unknown permission android.permission.USE_FINGERPRINT in package com.google.android.googlequicksearchbox
W/PackageManager(  455): Unknown permission android.permission.WRITE_SYNC_STATS in package com.google.android.apps.docs.editors.docs
W/PackageManager(  455): Not granting permission com.google.android.gm.permission.READ_GMAIL to package com.google.android.apps.docs.editors.docs (protectionLevel=2 flags=0x5bbec5)
W/PackageManager(  455): Not granting permission com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES to package com.google.android.apps.docs.editors.docs (protectionLevel=2 flags=0x5bbec5)
W/PackageManager(  455): Unknown permission com.android.launcher.permission.READ_SETTINGS in package com.google.android.onetimeinitializer
W/PackageManager(  455): Unknown permission com.android.launcher.permission.WRITE_SETTINGS in package com.google.android.onetimeinitializer
W/PackageManager(  455): Not granting permission android.permission.WRITE_SECURE_SETTINGS to package com.google.android.apps.enterprise.dmagent (protectionLevel=50 flags=0x83e05)
W/PackageManager(  455): Not granting permission android.permission.CONNECTIVITY_INTERNAL to package com.google.android.apps.enterprise.dmagent (protectionLevel=18 flags=0x83e05)
W/PackageManager(  455): Not granting permission android.permission.MANAGE_USB to package com.google.android.apps.enterprise.dmagent (protectionLevel=18 flags=0x83e05)
W/PackageManager(  455): Not granting permission android.permission.CHANGE_COMPONENT_ENABLED_STATE to package com.google.android.apps.enterprise.dmagent (protectionLevel=18 flags=0x83e05)
W/PackageManager(  455): Not granting permission android.permission.MANAGE_CA_CERTIFICATES to package com.google.android.apps.enterprise.dmagent (protectionLevel=18 flags=0x83e05)
W/PackageManager(  455): Not granting permission android.permission.MANAGE_USERS to package com.google.android.apps.enterprise.dmagent (protectionLevel=18 flags=0x83e05)
W/PackageManager(  455): Unknown permission android.permission.WRITE_SYNC_STATS in package com.google.android.apps.docs.editors.sheets
W/PackageManager(  455): Not granting permission com.google.android.gm.permission.READ_GMAIL to package com.google.android.apps.docs.editors.sheets (protectionLevel=2 flags=0x5bbec5)
W/PackageManager(  455): Not granting permission com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES to package com.google.android.apps.docs.editors.sheets (protectionLevel=2 flags=0x5bbec5)
W/PackageManager(  455): Unknown permission android.permission.WRITE_SYNC_STATS in package com.google.android.apps.docs.editors.slides
W/PackageManager(  455): Not granting permission com.google.android.gm.permission.READ_GMAIL to package com.google.android.apps.docs.editors.slides (protectionLevel=2 flags=0x583e45)
W/PackageManager(  455): Not granting permission com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES to package com.google.android.apps.docs.editors.slides (protectionLevel=2 flags=0x583e45)
W/PackageManager(  455): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.vending (protectionLevel=2 flags=0x404abec5)
W/PackageManager(  455): Unknown permission android.permission.SEND_SMS_NO_CONFIRMATION in package com.android.vending
W/PackageManager(  455): Unknown permission android.permission.USE_FINGERPRINT in package com.android.vending
W/PackageManager(  455): Unknown permission android.permission.GET_ACCOUNTS_PRIVILEGED in package com.android.vending
W/PackageManager(  455): Unknown permission android.permission.INSTALL_GRANT_RUNTIME_PERMISSIONS in package com.android.vending
W/PackageManager(  455): Unknown permission android.permission.GRANT_RUNTIME_PERMISSIONS in package com.android.vending
W/PackageManager(  455): Unknown permission android.permission.REVOKE_RUNTIME_PERMISSIONS in package com.android.vending
W/PackageManager(  455): Unknown permission android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST in package com.android.vending
W/PackageManager(  455): Not granting permission android.permission.BATTERY_STATS to package com.android.vending (protectionLevel=50 flags=0x404abec5)
W/PackageManager(  455): Not granting permission android.permission.BACKUP to package com.android.vending (protectionLevel=18 flags=0x404abec5)
W/PackageManager(  455): Not granting permission android.permission.CONNECTIVITY_INTERNAL to package com.android.vending (protectionLevel=18 flags=0x404abec5)
W/PackageManager(  455): Not granting permission android.permission.DUMP to package com.android.vending (protectionLevel=50 flags=0x404abec5)
W/PackageManager(  455): Unknown permission android.permission.ALLOCATE_AGGRESSIVE in package com.android.vending
W/PackageManager(  455): Not granting permission android.permission.GET_APP_OPS_STATS to package com.android.vending (protectionLevel=50 flags=0x404abec5)
W/PackageManager(  455): Not granting permission android.permission.SET_PREFERRED_APPLICATIONS to package com.android.vending (protectionLevel=2 flags=0x404abec5)
W/PackageManager(  455): Unknown permission android.permission.ACCESS_INSTANT_APPS in package com.android.vending
W/PackageManager(  455): Not granting permission android.permission.UPDATE_DEVICE_STATS to package com.android.vending (protectionLevel=18 flags=0x404abec5)
W/PackageManager(  455): Unknown permission android.permission.MANAGE_APP_OPS_MODES in package com.android.vending
W/PackageManager(  455): Unknown permission android.permission.SET_HARMFUL_APP_WARNINGS in package com.android.vending
W/PackageManager(  455): Unknown permission com.google.android.partnersetup.permission.WRITE_APP_PROVIDER in package com.android.vending
W/PackageManager(  455): Unknown permission com.sec.android.provider.badge.permission.READ in package com.android.vending
W/PackageManager(  455): Unknown permission com.sec.android.provider.badge.permission.WRITE in package com.android.vending
W/PackageManager(  455): Unknown permission com.htc.launcher.permission.READ_SETTINGS in package com.android.vending
W/PackageManager(  455): Unknown permission com.htc.launcher.permission.UPDATE_SHORTCUT in package com.android.vending
W/PackageManager(  455): Unknown permission com.sonyericsson.home.permission.BROADCAST_BADGE in package com.android.vending
W/PackageManager(  455): Unknown permission com.sonymobile.home.permission.PROVIDER_INSERT_BADGE in package com.android.vending
W/PackageManager(  455): Unknown permission com.anddoes.launcher.permission.UPDATE_COUNT in package com.android.vending
W/PackageManager(  455): Unknown permission com.majeur.launcher.permission.UPDATE_BADGE in package com.android.vending
W/PackageManager(  455): Unknown permission com.huawei.android.launcher.permission.CHANGE_BADGE in package com.android.vending
W/PackageManager(  455): Unknown permission com.huawei.android.launcher.permission.READ_SETTINGS in package com.android.vending
W/PackageManager(  455): Unknown permission com.huawei.android.launcher.permission.WRITE_SETTINGS in package com.android.vending
W/PackageManager(  455): Unknown permission android.permission.READ_APP_BADGE in package com.android.vending
W/PackageManager(  455): Unknown permission com.oppo.launcher.permission.READ_SETTINGS in package com.android.vending
W/PackageManager(  455): Unknown permission com.oppo.launcher.permission.WRITE_SETTINGS in package com.android.vending
W/PackageManager(  455): Unknown permission org.chromium.arc.apkcacheprovider.permission.READ_CACHE in package com.android.vending
W/PackageManager(  455): Unknown permission org.chromium.arc.apkcacheprovider.permission.WRITE_CACHE in package com.android.vending
W/PackageManager(  455): Unknown permission android.Manifest.permission.SUBSTITUTE_NOTIFICATION_APP_NAME in package com.android.vending
W/PackageManager(  455): Unknown permission android.permission.READ_RUNTIME_PROFILES in package com.android.vending
W/PackageManager(  455): Unknown permission android.permission.FOREGROUND_SERVICE in package com.android.vending
W/PackageManager(  455): Unknown permission android.permission.NFC_UNLOCK in package com.android.nfc
W/PackageManager(  455): Unknown permission com.android.launcher.permission.READ_SETTINGS in package com.google.android.launcher
W/PackageManager(  455): Unknown permission com.android.launcher.permission.WRITE_SETTINGS in package com.google.android.launcher
W/PackageManager(  455): Unknown permission com.google.android.gm.exchange.BIND in package com.google.android.gm
W/PackageManager(  455): Unknown permission com.android.email.partnerprovider.PARTNER_PROVIDER in package com.google.android.gm
W/PackageManager(  455): Unknown permission android.permission.READ_OWNER_DATA in package com.google.android.setupwizard
W/PackageManager(  455): Unknown permission android.permission.WRITE_OWNER_DATA in package com.google.android.setupwizard
W/PackageManager(  455): Unknown permission com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY in package com.google.android.music
W/PackageManager(  455): Not granting permission android.permission.WRITE_MEDIA_STORAGE to package com.estrongs.android.pop (protectionLevel=18 flags=0x58be44)
W/PackageManager(  455): Unknown permission android.permission.ACCESS_SUPERUSER in package com.estrongs.android.pop
W/PackageManager(  455): Unknown permission .PERMISSION in package com.estrongs.android.pop
W/PackageManager(  455): Unknown permission android.permission.WRITE_SYNC_STATS in package com.google.android.apps.docs
W/PackageManager(  455): Unknown permission com.google.googlenav.friend.permission.OPT_IN in package com.google.android.apps.plus
W/PackageManager(  455): Unknown permission com.android.launcher.permission.PRELOAD_WORKSPACE in package com.google.android.nfcprovision
W/PackageManager(  455): Unknown permission com.opera.browser.permission.GET_PREINSTALL_DATA in package com.opera.browser
W/PackageManager(  455): Unknown permission com.opera.android.browser.permission.NEWS_ID_VIEW in package com.opera.browser
W/PackageManager(  455): Unknown permission android.permission.GET_ACCOUNTS_PRIVILEGED in package com.google.android.contacts
W/PackageManager(  455): Not granting permission com.google.android.gm.permission.READ_GMAIL to package com.google.android.contacts (protectionLevel=2 flags=0x4049bec5)
W/PackageManager(  455): Unknown permission com.google.android.permission.PROVIDE_BACKGROUND in package com.google.android.apps.fitness
W/PackageManager(  455): Unknown permission com.chrome.permission.DEVICE_EXTRAS in package com.android.chrome
W/PackageManager(  455): Unknown permission com.sec.enterprise.knox.MDM_CONTENT_PROVIDER in package com.android.chrome
W/PackageManager(  455): Unknown permission android.permission.OBSERVE_GRANT_REVOKE_PERMISSIONS in package com.google.android.gms
W/PackageManager(  455): Unknown permission android.permission.MANAGE_SOUND_TRIGGER in package com.google.android.gms
W/PackageManager(  455): Unknown permission android.permission.DISPATCH_PROVISIONING_MESSAGE in package com.google.android.gms
W/PackageManager(  455): Unknown permission android.permission.RECOVER_KEYSTORE in package com.google.android.gms
W/PackageManager(  455): Unknown permission android.permission.PRE_FACTORY_RESET in package com.google.android.gms
W/PackageManager(  455): Not granting permission android.permission.READ_PRIVILEGED_PHONE_STATE to package com.google.android.gms (protectionLevel=18 flags=0xc0483ec5)
W/PackageManager(  455): Unknown permission android.permission.CONNECTIVITY_USE_RESTRICTED_NETWORKS in package com.google.android.gms
W/PackageManager(  455): Unknown permission android.permission.USE_FINGERPRINT in package com.google.android.gms
W/PackageManager(  455): Unknown permission android.permission.SEND_SMS_NO_CONFIRMATION in package com.google.android.gms
W/PackageManager(  455): Unknown permission com.google.android.wearable.WRITE_SETTINGS in package com.google.android.gms
W/PackageManager(  455): Unknown permission com.felicanetworks.mfc.permission.MFC_ACCESS in package com.google.android.gms
W/PackageManager(  455): Unknown permission com.felicanetworks.mfc.mfi.permission.MFI_ACCESS in package com.google.android.gms
W/PackageManager(  455): Not granting permission android.permission.BIND_NOTIFICATION_LISTENER_SERVICE to package com.google.android.gms (protectionLevel=2 flags=0xc0483ec5)
W/PackageManager(  455): Unknown permission android.permission.ACCESS_NOTIFICATION_POLICY in package com.google.android.gms
W/PackageManager(  455): Unknown permission android.permission.TETHER_PRIVILEGED in package com.google.android.gms
W/PackageManager(  455): Unknown permission android.permission.READ_OEM_UNLOCK_STATE in package com.google.android.gms
