--------- beginning of crash
F/libc    (29974): Fatal signal 11 (SIGSEGV), code 1, fault addr 0x7f859072f4 in tid 29985 (Binder_2)
D/ConnectivityService(  451): NetworkAgentInfo [WIFI () - 112] EVENT_NETWORK_INFO_CHANGED, going from CONNECTING to CONNECTED
D/WifiService(  451): acquireWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@29b7ca21}
D/WifiService(  451): releaseWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@29b7ca21}
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
I/ActivityManager(  451): Start proc 11390:com.google.android.apps.plus/u0a68 for broadcast com.google.android.apps.plus/com.google.android.libraries.social.autobackup.AutoBackupEnvironment$BatteryReceiver
W/ResourcesManager(11390): Asset path '/system/framework/com.google.android.maps.jar' does not exist or contains no resources.
I/EntropyMixer(  451): Writing entropy...
I/ValidateNoPeople(  451): skipping global notification
I/ValidateNoPeople(  451): skipping global notification
I/EntropyMixer(  451): Writing entropy...
I/ValidateNoPeople(  451): skipping global notification
I/ValidateNoPeople(  451): skipping global notification
I/EntropyMixer(  451): Writing entropy...
I/ValidateNoPeople(  451): skipping global notification
I/ValidateNoPeople(  451): skipping global notification
I/ActivityManager(  451): Start proc 11480:com.android.vending/u0a18 for service com.android.vending/com.google.android.finsky.contentfilterui.ContentFiltersService
D/ConnectivityService(  451): listenForNetwork for NetworkRequest [ id=316, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  451): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): apparently satisfied.  currentScore=56
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 55
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/WifiService(  451): acquireWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@2cf14d0e}
I/ActivityManager(  451): Start proc 11577:com.google.android.apps.gcs/u0a7 for broadcast com.google.android.apps.gcs/.steen.receiver.ScoreNetworksReceiver
D/WifiService(  451): releaseWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@2cf14d0e}
D/WifiService(  451): New client listening to asynchronous messages
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
I/UsageStatsService(  451): User[0] Flushing usage stats to disk
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 55
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
I/PowerManagerService(  451): Going to sleep due to power button (uid 1000)...
I/PowerManagerService(  451): Sleeping (uid 1000)...
I/DisplayManagerService(  451): Display device changed: DisplayDeviceInfo{"Built-in Screen": uniqueId="local:0", 1536 x 2048, 59.0 fps, supportedRefreshRates [59.0], density 320, 288.995 x 288.995 dpi, appVsyncOff 0, presDeadline 17949152, touch INTERNAL, rotation 0, type BUILT_IN, state OFF, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
V/ActivityManager(  451): Display changed displayId=0
D/ConnectivityService(  451): releasing NetworkRequest NetworkRequest [ id=315, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
I/PowerManagerService(  451): Waking up from sleep (uid 1000)...
I/DisplayPowerController(  451): Blocking screen on until initial contents have been drawn.
I/DisplayManagerService(  451): Display device changed: DisplayDeviceInfo{"Built-in Screen": uniqueId="local:0", 1536 x 2048, 59.0 fps, supportedRefreshRates [59.0], density 320, 288.995 x 288.995 dpi, appVsyncOff 0, presDeadline 17949152, touch INTERNAL, rotation 0, type BUILT_IN, state ON, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
V/ActivityManager(  451): Display changed displayId=0
V/ActivityManager(  451): Display changed displayId=0
D/ConnectivityService(  451): listenForNetwork for NetworkRequest [ id=317, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  451): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): apparently satisfied.  currentScore=56
V/ActivityManager(  451): Display changed displayId=0
I/DisplayPowerController(  451): Unblocked screen on after 372 ms
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 55
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 55
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/WifiService(  451): acquireWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@31939f95}
D/WifiService(  451): releaseWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@31939f95}
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 55
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
I/ActivityManager(  451): Start proc 11687:com.opera.browser:alarm_receiver/u0a85 for broadcast com.opera.browser/com.opera.android.phantom.receiver.AlarmReceiver
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 55
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
I/PowerManagerService(  451): Going to sleep due to screen timeout (uid 1000)...
I/PowerManagerService(  451): Sleeping (uid 1000)...
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 53
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
I/DisplayManagerService(  451): Display device changed: DisplayDeviceInfo{"Built-in Screen": uniqueId="local:0", 1536 x 2048, 59.0 fps, supportedRefreshRates [59.0], density 320, 288.995 x 288.995 dpi, appVsyncOff 0, presDeadline 17949152, touch INTERNAL, rotation 0, type BUILT_IN, state OFF, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
V/ActivityManager(  451): Display changed displayId=0
D/ConnectivityService(  451): releasing NetworkRequest NetworkRequest [ id=317, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  451): NetworkAgentInfo [WIFI () - 112] EVENT_NETWORK_INFO_CHANGED, going from CONNECTED to CONNECTING
D/ConnectivityService(  451): NetworkAgentInfo [WIFI () - 112] EVENT_NETWORK_INFO_CHANGED, going from CONNECTING to CONNECTED
D/ConnectivityService(  451): NetworkAgentInfo [WIFI () - 112] EVENT_NETWORK_INFO_CHANGED, going from CONNECTED to DISCONNECTED
D/ConnectivityService(  451): NetworkAgentInfo [WIFI () - 112] got DISCONNECTED, was satisfying 10
D/ConnectivityService(  451): reportBadNetwork(NetworkAgentInfo [WIFI () - 112]) by 10008
D/ConnectivityService(  451): notifyType LOST for NetworkAgentInfo [WIFI () - 112]
D/CSLegacyTypeTracker(  451): Sending disconnected broadcast for type 1 NetworkAgentInfo [WIFI () - 112] isDefaultNetwork=true
D/ConnectivityService(  451): sendStickyBroadcast: action=android.net.conn.CONNECTIVITY_CHANGE_IMMEDIATE
D/ConnectivityService(  451): sendStickyBroadcast: action=android.net.conn.CONNECTIVITY_CHANGE
D/ConnectivityService(  451): sendStickyBroadcast: action=android.net.conn.CONNECTIVITY_CHANGE_IMMEDIATE
D/ConnectivityService(  451): sendStickyBroadcast: action=android.net.conn.CONNECTIVITY_CHANGE
D/ConnectivityService(  451): Checking for replacement network to handle request NetworkRequest [ id=1, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VPN] ]
D/ConnectivityService(  451): setProvNotificationVisibleIntent: E visible=false networkType=0 extraInfo=null
D/WifiService(  451): acquireWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@30f2b06c}
D/WifiService(  451): releaseWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@30f2b06c}
D/ConnectivityService(  451): registerNetworkAgent NetworkAgentInfo{ ni{[type: WIFI[], state: CONNECTING/CONNECTING, reason: (unspecified), extra: "VU-Campusnet", roaming: false, failover: false, isAvailable: true, isConnectedToProvisioningNetwork: false]}  network{null}  lp{{InterfaceName: wlan0 LinkAddresses: []  Routes: [] DnsAddresses: [] Domains: null MTU: 0 TcpBufferSizes: 524288,1048576,2097152,262144,524288,1048576}}  nc{[ Transports: WIFI Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VPN LinkUpBandwidth>=1048576Kbps LinkDnBandwidth>=1048576Kbps]}  Score{20}  everValidated{false}  lastValidated{false}  created{false}  explicitlySelected{false} }
D/ConnectivityService(  451): NetworkAgentInfo [WIFI () - 113] EVENT_NETWORK_INFO_CHANGED, going from null to CONNECTING
D/ConnectivityService(  451): NetworkAgentInfo [WIFI () - 113] EVENT_NETWORK_INFO_CHANGED, going from CONNECTING to CONNECTED
D/ConnectivityService(  451): Adding iface wlan0 to network 113
E/ConnectivityService(  451): Unexpected mtu value: 0, wlan0
D/ConnectivityService(  451): Adding Route [fe80::/64 -> :: wlan0] to network 113
D/ConnectivityService(  451): Adding Route [130.37.104.0/22 -> 0.0.0.0 wlan0] to network 113
D/ConnectivityService(  451): Adding Route [0.0.0.0/0 -> 130.37.104.1 wlan0] to network 113
D/ConnectivityService(  451): Setting Dns servers for network 113 to [/130.37.236.48, /130.37.236.49, /130.37.236.50]
D/ConnectivityService(  451): notifyType IP_CHANGED for NetworkAgentInfo [WIFI () - 113]
D/ConnectivityService(  451): notifyType PRECHECK for NetworkAgentInfo [WIFI () - 113]
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 113]
D/ConnectivityService(  451):    accepting network in place of null
D/ConnectivityService(  451): Switching to new default network: NetworkAgentInfo{ ni{[type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: "VU-Campusnet", roaming: false, failover: false, isAvailable: true, isConnectedToProvisioningNetwork: false]}  network{113}  lp{{InterfaceName: wlan0 LinkAddresses: [fe80::522e:5cff:fee5:38b1/64,130.37.105.193/22,]  Routes: [fe80::/64 -> :: wlan0,130.37.104.0/22 -> 0.0.0.0 wlan0,0.0.0.0/0 -> 130.37.104.1 wlan0,] DnsAddresses: [130.37.236.48,130.37.236.49,130.37.236.50,] Domains: vu.local MTU: 0 TcpBufferSizes: 524288,1048576,2097152,262144,524288,1048576}}  nc{[ Transports: WIFI Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VPN LinkUpBandwidth>=1048576Kbps LinkDnBandwidth>=1048576Kbps]}  Score{20}  everValidated{false}  lastValidated{false}  created{true}  explicitlySelected{false} }
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 113]
D/CSLegacyTypeTracker(  451): Sending connected broadcast for type 1 NetworkAgentInfo [WIFI () - 113] isDefaultNetwork=true
D/ConnectivityService(  451): sendStickyBroadcast: action=android.net.conn.CONNECTIVITY_CHANGE_IMMEDIATE
D/ConnectivityService(  451): sendStickyBroadcast: action=android.net.conn.CONNECTIVITY_CHANGE
D/ConnectivityService(  451): setProvNotificationVisibleIntent: E visible=false networkType=0 extraInfo=null
D/ConnectivityService(  451): Validated NetworkAgentInfo [WIFI () - 113]
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 113]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 113] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 113]
D/ConnectivityService(  451): sendStickyBroadcast: action=android.net.conn.INET_CONDITION_ACTION
D/ConnectivityService(  451): NetTransition Wakelock (NetworkAgentInfo [WIFI () - 112] cleared because we found a replacement network
D/ConnectivityService(  451): reportBadNetwork(NetworkAgentInfo [WIFI () - 113]) by 10008
D/ConnectivityService(  451): setProvNotificationVisibleIntent: E visible=false networkType=0 extraInfo=null
D/ConnectivityService(  451): sendStickyBroadcast: action=android.net.conn.INET_CONDITION_ACTION
D/ConnectivityService(  451): NetworkAgentInfo [WIFI () - 113] EVENT_NETWORK_INFO_CHANGED, going from CONNECTED to DISCONNECTED
D/ConnectivityService(  451): NetworkAgentInfo [WIFI () - 113] got DISCONNECTED, was satisfying 10
D/ConnectivityService(  451): notifyType LOST for NetworkAgentInfo [WIFI () - 113]
D/CSLegacyTypeTracker(  451): Sending disconnected broadcast for type 1 NetworkAgentInfo [WIFI () - 113] isDefaultNetwork=true
D/ConnectivityService(  451): sendStickyBroadcast: action=android.net.conn.CONNECTIVITY_CHANGE_IMMEDIATE
D/ConnectivityService(  451): sendStickyBroadcast: action=android.net.conn.CONNECTIVITY_CHANGE
D/ConnectivityService(  451): sendStickyBroadcast: action=android.net.conn.CONNECTIVITY_CHANGE_IMMEDIATE
D/ConnectivityService(  451): sendStickyBroadcast: action=android.net.conn.CONNECTIVITY_CHANGE
D/ConnectivityService(  451): Checking for replacement network to handle request NetworkRequest [ id=1, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VPN] ]
D/ConnectivityService(  451): Failed to find a new network - expiring NetTransition Wakelock
D/WifiService(  451): acquireWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@374bc706}
D/WifiService(  451): releaseWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@374bc706}
