--------- beginning of crash
F/libc    (29974): Fatal signal 11 (SIGSEGV), code 1, fault addr 0x7f859072f4 in tid 29985 (Binder_2)
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
I/UsageStatsService(  451): User[0] Flushing usage stats to disk
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
I/ActivityManager(  451): Start proc 27901:com.google.android.talk/u0a13 for service com.google.android.talk/com.google.android.apps.hangouts.concurrent.impl.GcmTriggeredNotifier
W/ResourcesManager(27901): Asset path '/system/framework/com.google.android.media.effects.jar' does not exist or contains no resources.
D/VoldCmdListener(  151): cryptfs getpwtype
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
W/Telecom (  451): TelecomServiceImpl: null is not visible for the calling user
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/WifiService(  451): acquireWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@2a26aa8d}
D/WifiService(  451): releaseWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@2a26aa8d}
I/ActivityManager(  451): Killing 17570:com.google.android.instantapps.supervisor/u0a90 (adj 15): empty for 1800s
D/WifiService(  451): acquireWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@9e8d917}
D/WifiService(  451): releaseWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@9e8d917}
D/ConnectivityService(  451): NetworkAgentInfo [WIFI () - 126] EVENT_NETWORK_INFO_CHANGED, going from CONNECTED to CONNECTING
D/ConnectivityService(  451): NetworkAgentInfo [WIFI () - 126] EVENT_NETWORK_INFO_CHANGED, going from CONNECTING to CONNECTED
I/ActivityManager(  451): Killing 22531:com.opera.browser:alarm_receiver/u0a85 (adj 15): empty for 1817s
D/WifiService(  451): acquireWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@ab001ab}
D/WifiService(  451): releaseWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@ab001ab}
I/ActivityManager(  451): START u0 {flg=0x10800000 cmp=com.estrongs.android.pop/.app.RemainTransitionActivity} from uid 10089 on display 0
V/WindowManager(  451): addAppToken: AppWindowToken{12eddb67 token=Token{1c25c326 ActivityRecord{1bf78681 u0 com.estrongs.android.pop/.app.RemainTransitionActivity t3772}}} to stack=1 task=3772 at 0
I/ActivityManager(  451): Start proc 28155:com.opera.browser:alarm_receiver/u0a85 for broadcast com.opera.browser/com.opera.android.phantom.receiver.AlarmReceiver
I/ActivityManager(  451): START u0 {flg=0x10000000 cmp=com.estrongs.android.pop/com.google.android.gms.ads.AdActivity (has extras)} from uid 10089 on display 0
V/WindowManager(  451): addAppToken: AppWindowToken{20f61f0c token=Token{3bdea3f ActivityRecord{25f3e65e u0 com.estrongs.android.pop/com.google.android.gms.ads.AdActivity t3773}}} to stack=1 task=3773 at 0
I/ActivityManager(  451): START u0 {act=android.intent.action.VIEW dat=https://googleads.g.doubleclick.net/aclk?fbs_aeid=3689228936133165056&nas=ChwI7_im2AsSFA0AACBBFQAAoEIdAAA7RCUAAMBDEjEKBDEwMDESFA0AAIZCFQAAp0MdAEAPRCUAAEhCIAEtAAAAQjD_____Dzjfu43vBUAAEjEKBDEwMDMSFA0AACNEFQAAq0MdAACiQiUAAAhCIAEtAAAAQjD_____Dzj-9vG6B0AAEiUKBDEwMDUSFA0AAAAAFQAAAAAdAAA7RCUAAMBDIAEtAADAf0AAEiUKBDEwMDYSFA0AAHBBFQCAqUMdAAAgQiUAACBCIAEtAADAf0AAEiUKBDEwMDcSFA0AQDdEFQAAAAAdAABwQSUAAHBBIAEtAADAf0AAGhIKBDEwMDUSCg0AwCNEFQAAkEIiAggAMgQIABAA&dim=748x384&nb=9&sa=l&ai=CXkNOQ40iW5qgBYOBgQf5z4qIBoyK_vJR8-mxlZkHwI23ARABIMv1xihgkYSThfwXoAG62-OYA8gBBqgDAcgDAqoE1wFP0BHI8rk6lZVBSxbvvARw_Y0wluPAPk4r5PCWHsjPETwXR8kDmF4SkToGAYVkwUM_Y9bO8MJQ62bBCK7G9LxOjImNqEcpCC94KeeO0AFkAMaRQUVReGxjSwJTeoXv2GJSzgIMj-hm1_3e2-Mvf8MEFa2MPqovNxanO6ScfpLfAp7fot4qpaIitXgBKo5EtYQJHeIkwcXfx3Xy_6QLBK33aJv0AEpiILoq5NZiaPxMkDRWgQh9H31CKPW6E6_vQEW8nIlyr8Ns_0fzjRZVNHpRRr4OlyXdIsAE-sKGqtIBiAWj6IaSBZAGAaAGN9gGBIAHrqScZ4gHAZAHApgHAagHjs4bqAeNzRuoB9XJG6gH2csbqAfPzBuoB6a-G6gHmM4b2AcBoAjCpqkEsAgC0ggJCICAgBAQAhgCsQkAo8aMVyNUVIAKAtgTCoIUJxolbW9iaWxlYXBwOjoyLWNvbS5lc3Ryb25ncy5hbmRyb2lkLnBvcA&num=1&cid=CAMSeQClSFh3EVc8cKGWFcVs-b4GhSEdm3Ab6ikTav43456Rme4ZlSL_0ktQWyZUHRGXr88Z1q3Qr-fp1Cqku0mNI74p8o5GXnB3e39hF3hSjEYaOiDOuBTUBuLughhQ-R4lsiYEBqotF8VD1PHZsN5-AplYrd-tb3G0h28&sig=AOD64_0xlKeU_2kNI4XY53YriFv9fslPrQ&client=ca-app-pub-5262205102114431&ms=CoACBLu6VHEL27BKAN8Gxbb6JtkTWIx7JKUytdgdgXm-G7tpHNOxtqS8unECQDUxYRGgXmWiH7L52buYlxIXz-WFYLN-MGCcKndH64NpWJUMd43mgu2zvUWC3mKiQOYISsfpCg-C_dgXFvCdVcVT4FbAulBYeYanm3Z70REKLNWQiraByA4JWueXJIWjC-ed0Vt4MmcmxbCBijlKLcl5yhwoRO5miuF3sNOP3zI0iunv0ywOzyqlJ5K8cxDllNWxhaCzYIOc7Ds-Oh1r3-O7n9uwxnGEGSRGLdaHgz2QAV1Q0YS6GsISyxrR8aCshY1yf7vyNzv0XIpytnxvKAJo8ZCQxwqAAuLM69EElFeiZ7xVrDLwaoy7MRCfF-IQbTAYr3Opkk0mfzxXYCyJhGGfAt-diyF1GPYuPWa6080Mxkkn9lkCyG52qW-w-8S_vO6XLwXY2Rk-cJDZ84iJViEQgjCTHGhGiKJ9uaTh4Is6TWQ-fv7jcTjbRmX5xLq3KDGZ7tMwTtTGSZB5cogUytQCXuxion3j9fvfpCTUpcXR367monaC5Jb0J3jRmpa5sCHTVWLDwn1J392xpNuFr8Nxo5PeTBQ358GHFdeza8oK_MEcI7AC__LU6lK3KAjFmWknRBppHiSLAvTZSTq3Gc_QoCaiPguz6H5gUJVoQiz9T1MMmeA3pwESEE8OobteokNlkm5upUXG9Eo&adurl=https://www.infragistics.com/products/reportplus-embedded/embedded-analytics-whitepaper flg=0x10000000 cmp=com.android.chrome/com.google.android.apps.chrome.Main} from uid 10089 on display 0
V/WindowManager(  451): addAppToken: AppWindowToken{1cb0eb5b token=Token{25140a6a ActivityRecord{15891055 u0 com.android.chrome/com.google.android.apps.chrome.Main t3774}}} to stack=1 task=3774 at 0
V/WindowManager(  451): Adding window Window{2b975cd1 u0 com.estrongs.android.pop/com.google.android.gms.ads.AdActivity} at 4 of 11 (after Window{32f1e972 u0 com.estrongs.android.pop/com.dianxinos.lazyswipe.EmptyActivity})
D/ConnectivityService(  451): listenForNetwork for NetworkRequest [ id=666, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  451): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): apparently satisfied.  currentScore=60
I/ActivityManager(  451): Process com.google.android.partnersetup (pid 18444) has died
I/ActivityManager(  451): Process com.android.documentsui (pid 17786) has died
I/ActivityManager(  451): Process com.android.providers.partnerbookmarks (pid 18527) has died
I/ActivityManager(  451): Process com.google.android.music:main (pid 27257) has died
I/ActivityManager(  451): START u0 {cmp=com.android.chrome/org.chromium.chrome.browser.firstrun.FirstRunActivity (has extras)} from uid 10035 on display 0
V/WindowManager(  451): addAppToken: AppWindowToken{1f7f6ad3 token=Token{3d477cc2 ActivityRecord{d63f50d u0 com.android.chrome/org.chromium.chrome.browser.firstrun.FirstRunActivity t3775}}} to stack=1 task=3775 at 0
V/WindowManager(  451): Based on layer: Adding window Window{24e7d509 u0 com.android.chrome/org.chromium.chrome.browser.firstrun.FirstRunActivity} at 5 of 12
I/ActivityManager(  451): Start proc 28197:com.android.chrome:sandboxed_process0/u0i711 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService0
I/ActivityManager(  451): Process com.google.android.apps.photos (pid 17826) has died
I/ActivityManager(  451): Process com.android.defcontainer (pid 17801) has died
I/ActivityManager(  451): Process com.google.android.apps.plus (pid 27228) has died
W/ActivityManager(  451): Finishing task with all activities already finished
W/ActivityManager(  451): Duplicate finish request for ActivityRecord{1bcf25e3 u0 com.estrongs.android.pop/com.dianxinos.lazyswipe.EmptyActivity t3771 f}
V/DeadZone(  627): consuming errant click: (996.1757,23.1427)
I/ActivityManager(  451): Process com.google.android.talk (pid 27901) has died
D/ConnectivityService(  451): ConnectivityService NetworkRequestInfo binderDied(NetworkRequest [ id=665, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ], android.os.BinderProxy@1d174159)
D/ConnectivityService(  451): releasing NetworkRequest NetworkRequest [ id=665, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
I/ActivityManager(  451): Process com.android.vending (pid 27757) has died
E/ConnectivityService(  451): RemoteException caught trying to send a callback msg for NetworkRequest [ id=665, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
I/ActivityManager(  451): START u0 {act=com.android.systemui.recents.SHOW_RECENTS flg=0x10804000 cmp=com.android.systemui/.recents.RecentsActivity} from uid 10022 on display 0
D/ConnectivityService(  451): releasing NetworkRequest NetworkRequest [ id=666, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
I/ActivityManager(  451): Killing 27831:.esfm/u0a89 (adj 8): remove task
W/ActivityManager(  451): Scheduling restart of crashed service com.estrongs.android.pop/com.estrongs.android.scanner.service.FileMonitorService in 1000ms
I/ActivityManager(  451): Killing 12671:com.estrongs.android.pop:local/u0a89 (adj 16): remove task
I/ActivityManager(  451): Killing 17425:com.estrongs.android.pop/u0a89 (adj 9): remove task
I/libprocessgroup(  451): Killing pid 27309 in uid 10089 as part of process group 17425
I/libprocessgroup(  451): Killing pid 27309 in uid 10089 as part of process group 17425
I/libprocessgroup(  451): Killing pid 27309 in uid 10089 as part of process group 17425
I/libprocessgroup(  451): Killing pid 27309 in uid 10089 as part of process group 17425
I/libprocessgroup(  451): Killing pid 27309 in uid 10089 as part of process group 17425
E/WifiService(  451): Multicaster binderDied
I/WindowState(  451): WIN DEATH: Window{1d331279 u0 com.estrongs.android.pop}
D/WifiService(  451): Client connection lost with reason: 4
D/ConnectivityService(  451): ConnectivityService NetworkRequestInfo binderDied(NetworkRequest [ id=663, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ], android.os.BinderProxy@11b68c8a)
D/ConnectivityService(  451): releasing NetworkRequest NetworkRequest [ id=663, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  451): ConnectivityService NetworkRequestInfo binderDied(NetworkRequest [ id=664, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ], android.os.BinderProxy@264812fb)
E/ConnectivityService(  451): RemoteException caught trying to send a callback msg for NetworkRequest [ id=663, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  451): releasing NetworkRequest NetworkRequest [ id=664, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
E/ConnectivityService(  451): RemoteException caught trying to send a callback msg for NetworkRequest [ id=664, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
I/WindowState(  451): WIN DEATH: Window{31581c41 u0 com.estrongs.android.pop}
I/WindowState(  451): WIN DEATH: Window{d48aec3 u0 com.estrongs.android.pop}
I/WindowState(  451): WIN DEATH: Window{12c6136c u0 com.estrongs.android.pop}
I/WindowState(  451): WIN DEATH: Window{2ac93b7d u0 com.estrongs.android.pop}
I/WindowState(  451): WIN DEATH: Window{3520c727 u0 com.estrongs.android.pop}
I/WindowState(  451): WIN DEATH: Window{2fbf614b u0 com.estrongs.android.pop}
W/ActivityManager(  451): Exception when unbinding service com.estrongs.android.pop/com.android.apps.pros.LocalMService
W/ActivityManager(  451): android.os.DeadObjectException
W/ActivityManager(  451): 	at android.os.BinderProxy.transactNative(Native Method)
W/ActivityManager(  451): 	at android.os.BinderProxy.transact(Binder.java:496)
W/ActivityManager(  451): 	at android.app.ApplicationThreadProxy.scheduleUnbindService(ApplicationThreadNative.java:921)
W/ActivityManager(  451): 	at com.android.server.am.ActiveServices.removeConnectionLocked(ActiveServices.java:1795)
W/ActivityManager(  451): 	at com.android.server.am.ActiveServices.killServicesLocked(ActiveServices.java:2193)
W/ActivityManager(  451): 	at com.android.server.am.ActivityManagerService.cleanUpApplicationRecordLocked(ActivityManagerService.java:14895)
W/ActivityManager(  451): 	at com.android.server.am.ActivityManagerService.handleAppDiedLocked(ActivityManagerService.java:4552)
W/ActivityManager(  451): 	at com.android.server.am.ActivityManagerService.appDiedLocked(ActivityManagerService.java:4717)
W/ActivityManager(  451): 	at com.android.server.am.ActivityManagerService$AppDeathRecipient.binderDied(ActivityManagerService.java:1229)
W/ActivityManager(  451): 	at android.os.BinderProxy.sendDeathNotice(Binder.java:551)
W/ActivityManager(  451): Scheduling restart of crashed service com.estrongs.android.pop/com.android.apps.pros.LocalCService in 10656ms
I/ActivityManager(  451): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10200000 cmp=com.google.android.googlequicksearchbox/com.google.android.launcher.GEL} from uid 10022 on display 0
D/TaskPersister(  451): removeObsoleteFile: deleting file=3768_task.xml
D/TaskPersister(  451): removeObsoleteFile: deleting file=3773_task.xml
D/TaskPersister(  451): removeObsoleteFile: deleting file=3771_task_thumbnail.png
I/ActivityManager(  451): Start proc 28251:.esfm/u0a89 for service com.estrongs.android.pop/com.estrongs.android.scanner.service.FileMonitorService
W/libprocessgroup(  451): failed to open /acct/uid_10035/pid_28197/cgroup.procs: No such file or directory
I/ActivityManager(  451): Process com.android.chrome:sandboxed_process0 (pid 28197) has died
W/ActivityManager(  451): Scheduling restart of crashed service com.android.chrome/org.chromium.content.app.SandboxedProcessService0 in 17395ms
I/ActivityManager(  451): Start proc 28285:com.estrongs.android.pop:local/u0a89 for service com.estrongs.android.pop/com.android.apps.pros.LocalCService
I/ActivityManager(  451): Start proc 28301:com.estrongs.android.pop/u0a89 for service com.estrongs.android.pop/com.android.apps.pros.LocalMService
W/ResourcesManager(28301): Asset path '/system/framework/com.android.media.remotedisplay.jar' does not exist or contains no resources.
W/ResourcesManager(28301): Asset path '/system/framework/com.android.location.provider.jar' does not exist or contains no resources.
D/WifiService(  451): New client listening to asynchronous messages
E/ActivityThread(28301): Failed to find provider info for com.facebook.katana.provider.AttributionIdProvider
W/ResourcesManager(28301): Asset path '/system/framework/com.android.media.remotedisplay.jar' does not exist or contains no resources.
W/ResourcesManager(28301): Asset path '/system/framework/com.android.location.provider.jar' does not exist or contains no resources.
W/ResourcesManager(28301): Asset path '/system/framework/com.google.android.maps.jar' does not exist or contains no resources.
W/ResourcesManager(28301): Asset path '/system/framework/com.google.android.maps.jar' does not exist or contains no resources.
W/ResourcesManager(28301): Asset path '/system/framework/com.google.widevine.software.drm.jar' does not exist or contains no resources.
W/ResourcesManager(28301): Asset path '/system/framework/com.google.widevine.software.drm.jar' does not exist or contains no resources.
W/ResourcesManager(28301): Asset path '/system/framework/com.google.android.media.effects.jar' does not exist or contains no resources.
W/ResourcesManager(28301): Asset path '/system/framework/com.google.android.media.effects.jar' does not exist or contains no resources.
I/ActivityManager(  451): Waited long enough for: ServiceRecord{38c1c0aa u0 com.estrongs.android.pop/com.estrongs.android.scanner.service.FileScannerService}
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/WifiService(  451): acquireWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@ad3d4a0}
D/WifiService(  451): releaseWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@ad3d4a0}
I/PowerUI.Notification(  627): show low battery warning: level=10 [-1] playSound=true
I/ValidateNoPeople(  451): skipping global notification
I/ActivityManager(  451): Start proc 28411:com.google.android.apps.plus/u0a68 for broadcast com.google.android.apps.plus/com.google.android.libraries.social.autobackup.AutoBackupEnvironment$BatteryReceiver
W/ResourcesManager(28411): Asset path '/system/framework/com.google.android.maps.jar' does not exist or contains no resources.
I/ActivityManager(  451): Start proc 28433:com.google.android.apps.photos/u0a66 for broadcast com.google.android.apps.photos/.scheduler.PowerReceiver
